Source,Reference,Organisms,Thermoregulation,Log body mass,Dispersal type,Trophic position,Realm,Habitat type,Hemisphere,Longitude,Scale,Grain log area kmsq,Diversity type,Range,Significance,Global richness log S,Measure,N,Slope b,SE b,Intercept,rz,Var rz
Schall and Pianka 1978,Science 201:679-686,Lizards,Ecto,1.53,Mobility,Carnivores,Terrestrial,All terrestrial,S,Australasia,Regional,4.76,Ranges,25,Yes,3.49,S,13,-0.32,0.33,46.5,-0.29,0.1
Scheiner and Reyâ€êBenayas 1994,Evol Ecol 8:331-347,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,Both,Eurafrica,Regional,2.88,Alpha,33,Yes,5.37,S,13,-0.71,0.23,42.69,-0.84,0.1
Scheiner and Reyâ€êBenayas 1994,Evol Ecol 8:331-347,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,2.88,Alpha,33,No,5.37,S,14,-0.01,0.43,33.02,-0.01,0.09
Scheiner and Reyâ€êBenayas 1994,Evol Ecol 8:331-347,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,2.88,Alpha,74,No,5.37,S,18,-0.07,0.12,24.02,-0.14,0.07
Scheiner and Reyâ€êBenayas 1994,Evol Ecol 8:331-347,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,2.88,Alpha,33,Yes,5.37,S,31,-0.69,0.31,64.76,-0.39,0.04
Scheiner and Reyâ€êBenayas 1994,Evol Ecol 8:331-347,Plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,New World,Regional,2.88,Alpha,40,No,5.37,S,3,-0.45,0.22,36.45,-1.48,
Schopf et al. 1978,"Battaglia, B., and J. A. Beardmore 1978, Marine organisms: genetics, ecology, and evolution, Plenum, New York",Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Worldwide,Regional,,,,,3.4,Higher,11,-0.98,,52.41,-0.34,0.13
Schopf et al. 1978,"Battaglia, B., and J. A. Beardmore 1978, Marine organisms: genetics, ecology, and evolution, Plenum, New York",Bryozoa,Ecto,-4.5,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Worldwide,Regional,,,,,3.6,S,21,-1.92,,331.55,-0.54,0.06
Schopf et al.1978,"Battaglia, B., and J. A. Beardmore 1978, Marine organisms: genetics, ecology, and evolution, Plenum, New York",Bivalves,Ecto,-1.1,Pelagic larvae,Suspension,Marine,Benthos coastal,Both,Worldwide,Regional,,,,,4.3,S,20,-9.04,,660.31,-1.02,0.06
Schopf et al.1978,"Battaglia, B., and J. A. Beardmore 1978, Marine organisms: genetics, ecology, and evolution, Plenum, New York",Foraminifera,Ecto,-6,Passive,Microbivores,Marine,Benthos coastal,Both,Worldwide,Regional,,,,,3.63,Higher,26,-0.73,,96.58,-0.37,0.04
"Scriber 1973, 1984","Cited in Sime and Brower 1998, J Anim Ecol 67:387-399",Swallowtails,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,Worldwide,Regional,,Gamma,60,Yes,2.78,S,7,-3.54,0.27,224.9,-2.48,0.25
"Scriber 1973, 1984","Cited in Sime and Brower 1998, J Anim Ecol 67:387-399",Swallowtails,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Regional,,Gamma,40,Yes,2.78,S,5,-6.36,0.84,264,-2.18,0.5
Serie 1936,"Cited in Fischer 1960, Evolution 14:64-81",Snakes,Ecto,2.88,Mobility,Carnivores,Terrestrial,All terrestrial,S,New World,Local,,Gamma,28,Yes,3.4,S,9,-2.05,0.36,101.13,-1.52,0.17
Sheperd 1998,J Biogeogr 25:19-29,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Local,0.7,Alpha,58,Yes,3.68,S,28,-0.33,0.12,40.81,-0.54,0.04
Sheppard 1998,Biodivers Conserv 7:847-868,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Indian Ocean,Local,,Alpha,21,No,3.4,S,13,-2.61,1.9,159.16,-0.41,0.1
Sheppard 1998,Biodivers Conserv 7:847-868,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Indian Ocean,Local,,Alpha,21,No,3.4,Higher,13,-0.46,0.51,50.2,-0.27,0.1
Sheppard 1998,Biodivers Conserv 7:847-868,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Indian Ocean,Local,,Alpha,26,No,3.4,S,13,-0.64,2.31,152.97,-0.08,0.1
Sheppard 1998,Biodivers Conserv 7:847-868,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Indian Ocean,Local,,Alpha,26,No,3.4,Higher,13,-0.18,0.38,50.32,-0.14,0.1
Sime and Brower 1998,J Anim Ecol 67:387-399,Unpalatable butterfiels,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,Worldwide,Regional,,Gamma,60,Yes,4.18,S,7,-13.69,3.75,528.29,-1.49,0.25
Sime and Brower 1998,J Anim Ecol 67:387-399,Unpalatable butterfiels,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Regional,,Gamma,40,Yes,4.18,S,4,-22.83,4.57,748.57,-1.97,1
Simpson 1964,Syst Zool 13:57-73,Mammals,Homeo,2.86,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.76,Ranges,56,Yes,3.68,S,8,-2.02,0.22,172.38,-2.03,0.2
Skillen et al. 2000,Environ Entomol 29:460-466,Ichneumonidae,Ecto,-2.3,Flying,Parasite,Terrestrial,Forest,N,New World,Local,,Alpha,16,No,4.48,S,5,-0.96,1.1,64.12,-0.49,0.5
Skillen et al. 2000,Environ Entomol 29:460-466,Ichneumonidae,Ecto,-2.3,Flying,Parasite,Terrestrial,Forest,N,New World,Local,,Alpha,16,No,4.48,S,5,0.31,1.23,34.15,0.15,0.5
Slud 1976,Data analysed by Gaston and Blackburn 2000,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,Both,Worldwide,Regional,,,70,Yes,3.95,Sst,8,-0.01,,,-1.21,0.2
Smith 1982,Polar Biol 1:13-179,Testate rhzopods,Ecto,-7.35,Passive,Microbivores,Terrestrial,Soil,S,Worldwide,Local,2.2,Alpha,30,Yes,2.3,S,11,-1.25,0.22,100.71,-1.4,0.13
Soetaert et al. 1995,Hydrobiologia 311:175-206,Nematodes,Ecto,-5.85,Passive,Microbivores,Marine,Estuary,N,Atlantic,Local,-8,Alpha,14,No,4.1,S,6,0.87,0.64,26.98,0.25,0.33
Specht 1988,Data after Rosenzweig 1995,Dune plants,Ecto,1,Seeds,Autotrophs,Terrestrial,Nonforest,S,Australasia,Local,,Alpha,29,Yes,5.37,S,12,-0.25,0.08,36.68,-0.91,0.11
Spight 1977,Am Nat 111:1077-1097,Gastropods,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Pacific,Local,-3.7,Alpha,37,No,5,Mean S,2,-1.7,,96.02,,
Stanton 1979,Ecology 60:295-403,Mites,Ecto,-2.7,Mobility,Omnivores,Terrestrial,Soil,N,New World,Local,-6.52,Alpha,32,No,4.66,S,6,-1.33,0.72,121,-0.83,0.33
Stehli and Wells 1971,Syst Zool 20:115-126,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,N,Worldwide,Local,,Gamma,40,No,3.4,Higher,39,-0.52,0.28,37.39,-0.3,0.03
Stehli and Wells 1971,Syst Zool 20:115-126,Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Worldwide,Local,,Gamma,35,Yes,3.4,Higher,24,-0.74,0.32,38.32,-0.47,0.05
Stephens and Wiens 2003,Am Nat 161:112-128,Emidyd turtles,Ecto,2.46,Mobility,Herbivores,Freshwater,Stream,N,New World,Regional,4.5,Gamma,32,No,1.6,S,45,-0.02,0.06,6.09,0.12,0.02
Stephens and Wiens 2003,Am Nat 161:112-128,Emidyd turtles,Ecto,2.46,Mobility,Herbivores,Freshwater,Stream,N,New World,Regional,4.5,Gamma,32,Yes,1.6,S,58,0.16,0.04,-0.55,0.47,0.02
Stevens and Enquist 1998,"Cited in Brown, J. H., and M. V. Lomolino 1998, Biogeography, 2d ed., Sinauer, Sunderland, Mass.",Pinaceae,Ecto,4.64,Seeds,Autotrophs,Terrestrial,Forest,N,New World,Regional,,Ranges,65,No,1.7,S,14,-0.09,0.24,23.65,-0.11,0.09
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,39.25,Yes,2.97,S,22,-0.77,0.26,41.99,-0.63,0.05
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,39.25,Yes,2.97,Index,22,-0.03,0.01,2.44,-0.54,0.05
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Local,,Alpha,20,Yes,2.97,S,10,-1.38,0.48,53.18,-0.89,0.14
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Local,,Alpha,20,Yes,2.97,Index,10,-0.05,0.02,2.93,-0.71,0.14
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,N,New World,Regional,,Gamma,39.25,Yes,2.97,S,22,-3.1,0.17,129.61,-2.09,0.05
Stevens and Willig 2002,Ecology 83:545-560,Bats,Homeo,1.11,Flying,Carnivores,Terrestrial,All terrestrial,S,New World,Regional,,Gamma,20,Yes,2.97,S,10,-1.93,0.56,105.07,-1.02,0.14
Stevens 1996,J Biogeogr 23:149-154,Fish,Ecto,2.43,Mobility,Omnivores,Marine,Pelagic ocean,N,Pacific,Regional,6.7,Ranges,35,Yes,4.4,S,8,-8.48,1.39,679.66,-1.64,0.2
Stout and Vandermeer 1975,Am Nat 109:263-280,Stream insects,Ecto,-1.58,Flying,Omnivores,Freshwater,Stream,N,New World,Local,,Alpha,39,Yes,4.18,S,17,-0.48,0.18,46.19,-0.64,0.07
Strayer 2001,Arch Hydrobiol 151:493-510,Annelids,Ecto,-3.5,Pelagic larvae,Omnivores,Freshwater,All freshwater,N,New World,Local,-9.52,Alpha,13.6,No,4.23,S,14,-0.21,0.17,15.71,-0.34,0.09
Sutton and Collins 1991,"Cited in Roxburg and Noble, in Levin 2001, vol. 5, pp. 637-646",Swallowtails,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,N,Worldwide,Regional,,Ranges,60,Yes,4.2,S,7,-3.6,0.36,238.58,-2.21,0.25
Sutton and Collins 1991,"Cited in Roxburg and Noble, in Levin 2001, vol. 5, pp. 637-646",Swallowtails,Ecto,-0.15,Flying,Herbivores,Terrestrial,All terrestrial,S,Worldwide,Regional,,Ranges,40,Yes,4.2,S,5,-6.49,0.8,269.19,-2.25,0.5
Tammi et al. 2003,Ambio 32:98-105,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,N,Eurafrica,Regional,3.99,Gamma,16,Yes,4.4,Mean S,110,-0.26,0.06,21.12,-0.44,0.01
Taylor and Taylor 1977,J Biogeogr 4:73-81,Predatory gastropods,Ecto,-1.6,Pelagic larvae,Carnivores,Marine,Benthos coastal,N,Atlantic,Local,,Gamma,75,Yes,5,S,21,-1.64,0.46,138.43,-0.74,0.06
Taylor and Taylor 1977,J Biogeogr 4:73-81,Predatory gastropods,Ecto,-1.6,Pelagic larvae,Carnivores,Marine,Benthos coastal,N,Atlantic,Local,,Gamma,75,Yes,5,Higher,24,-0.23,0.03,20.67,-1.19,0.05
Taylor and Taylor 1977,J Biogeogr 4:73-81,Predatory gastropods,Ecto,-1.6,Pelagic larvae,Carnivores,Marine,Benthos coastal,N,Atlantic,Local,,Gamma,75,Yes,5,Higher,7,-0.32,0.06,25.7,-1.57,0.25
Teraguchi et al. 1981,J Biogeogr 8:53-65,Arthropods,Ecto,-2.3,,Omnivores,Terrestrial,Nonforest,N,New World,Local,-6.9,Alpha,23,No,6,S,10,-0.32,0.32,41.19,-0.35,0.14
Teraguchi et al. 1981,J Biogeogr 8:53-65,Arthropods,Ecto,-2.3,,Omnivores,Terrestrial,Nonforest,N,New World,Local,-6.9,Alpha,23,No,6,Index,10,-0.02,0.02,3.7,-0.52,0.14
Thorson 1952,Zool Anz 16(suppl.):276-327,Cumacea,Ecto,-4,Mobility,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,2.65,Mean S,3,0.01,0.07,16.86,0.19,
Thorson 1952,Zool Anz 16(suppl.):276-327,Amphipoda,Ecto,-2.1,Mobility,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,3.56,Mean S,3,-1.34,0.3,250.4,-2.21,
Thorson 1952,Zool Anz 16(suppl.):276-327,Brachyura,Ecto,-0.65,,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,30,Yes,3.65,Mean S,4,-2.14,0.37,140.1,-2.13,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Cephalospida,Ecto,-1.6,Pelagic larvae,Microbivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,,Mean S,4,-0.04,0.09,14.96,-0.32,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Nacticidae,Ecto,-0.78,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,,Mean S,4,-0.06,0.02,12.88,-1.62,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Nudibranchia,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,Yes,3.6,Mean S,4,-2.2,0.32,162.7,-2.3,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Prsobranchs,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,Yes,4.48,Mean S,4,-7.97,1.84,605.84,-1.83,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Ophiuridae,Ecto,-1.22,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,3.28,Mean S,4,-0.03,0.06,9.89,-0.3,1
Thorson 1952,Zool Anz 16(suppl.):276-327,Holothuridae,Ecto,-1.1,Pelagic larvae,Omnivores,Marine,Benthos coastal,N,Atlantic,,,Alpha,55,No,3.04,Mean S,4,0.09,0.02,2.8,1.7,1
Tillyard 1917,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York",Dragonflies,Ecto,-0.5,Flying,Carnivores,Terrestrial,Nonforest,Both,Eurafrica,Regional,7,Gamma,55,Yes,3.7,Higher,6,-1.38,0.26,136.31,-1.71,0.33
Tillyard 1917,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York",Dragonflies,Ecto,-0.5,Flying,Carnivores,Terrestrial,Nonforest,Both,Eurafrica,Regional,7,Gamma,55,No,3.7,S,6,-6.29,2.71,596.1,-0.99,0.33
Tramer 1974,Condor 76:123-130,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,,Alpha,20,Yes,3.95,Mean S,10,-1.73,0.39,83.81,-1.24,0.14
Tramer 1974,Condor 76:123-130,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.4,Alpha,60,Yes,3.95,S,95,-7.81,0.54,444.97,-1.19,0.01
Tramer 1974,Condor 76:123-130,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,,Gamma,50,Yes,3.95,Mean S,5,-1.42,0.13,68.37,-2.55,0.5
Traunspurger 2002,"In Rundle et al. 2002, Freshwater meiofauna, pp. 63-104, Backhuys, Leiden",Nematodes,Ecto,-5.85,Passive,Microbivores,Freshwater,Lake,N,Worldwide,Local,,Alpha,20,No,4.1,S,26,-0.16,0.99,41.54,-0.03,0.04
Turner 1981,J Biogeogr 8:369-382,Copepods,Ecto,-3.74,Passive,Omnivores,Marine,Estuary,N,Atlantic,Local,,Alpha,63,Yes,3.9,S,48,-0.22,0.06,23.71,-0.51,0.02
Uvarov and Johnston 1957,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York",Grasshopper,Ecto,-1.05,Flying,Herbivores,Terrestrial,All terrestrial,Both,Eurafrica,Regional,6,Gamma,28,No,4.36,Higher,5,-5.2,1.97,266,-1.21,0.5
Uvarov and Johnston 1957,"Cited in C. B. Williams 1964, Patterns in the balance of nature, Academic Press, New York",Grasshopper,Ecto,-1.05,Flying,Herbivores,Terrestrial,All terrestrial,Both,Eurafrica,Regional,6,Gamma,28,No,4.36,S,5,-14.49,7.1,750,-1,0.5
Valdovinos et al. 2003,Ecography 26:139-144,Prosobranchia,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Pacific,Regional,2.4,Ranges,45,Yes,4.48,S,9,4.29,1.11,-9.77,1.18,0.17
Valdovinos et al. 2003,Ecography 26:139-144,Bivalves,Ecto,-1.1,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Pacific,Regional,2.4,Ranges,45,Yes,4.3,S,9,0.94,0.22,44.83,1.27,0.17
Valdovinos et al. 2003,Ecography 26:139-144,Placophora,Ecto,-1.6,Pelagic larvae,Omnivores,Marine,Benthos coastal,S,Pacific,Regional,2.4,Ranges,45,Yes,3,S,9,0.5,0.12,8.29,1.21,0.17
Watson and Peterson 1999,Ecography 22:582-589,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Local,2.84,Alpha,19,Yes,3.95,S,31,-5.97,1.09,242.2,-0.89,0.04
Wells 1956,"Cited in Fischer 1960, Evolution 14:64-81",Corals,Ecto,-3,Pelagic larvae,Suspension,Marine,Benthos coastal,S,Indian Ocean,,,Alpha,70,Yes,3.4,Higher,20,-3.17,0.24,105.22,-1.84,0.06
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Local,-4.61,Alpha,15.83,No,5.37,Sst,40,-0.01,0.01,0.75,-0.13,0.03
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Local,-2.84,Alpha,36.83,No,5.37,Sst,25,-0.01,0.01,0.14,-0.19,0.05
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Worldwide,Local,-3.27,Alpha,26.5,Yes,5.37,Sst,19,0.02,0.01,-0.21,0.5,0.06
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,3.28,Gamma,25.5,No,5.37,Sst,9,0,0.02,-0.08,-0.03,0.17
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Australasia,Regional,4.57,Gamma,38.63,No,5.37,Sst,10,-0.01,0,0.44,-0.59,0.14
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,2.02,Gamma,77.75,Yes,5.37,Sst,36,-0.01,0,0.25,-0.35,0.03
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,Eurafrica,Regional,4.11,Gamma,68,No,5.37,Sst,46,0,0,0.15,-0.12,0.02
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,3.1,Gamma,51.5,Yes,5.37,Sst,14,-0.02,0.01,0.55,-0.83,0.09
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,N,New World,Regional,4.96,Gamma,62,Yes,5.37,Sst,29,-0.02,0,0.85,-0.92,0.04
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Australasia,Regional,2.9,Gamma,44.67,No,5.37,Sst,11,-0.02,0.01,0.39,-0.64,0.13
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Australasia,Regional,5.16,Gamma,25.8,No,5.37,Sst,10,0,0.01,-0.12,0.16,0.14
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Eurafrica,Regional,2.16,Gamma,55.58,No,5.37,Sst,4,-0.02,0.01,-0.71,-1,1
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,Eurafrica,Regional,5.08,Gamma,24,Yes,5.37,Sst,8,0.02,0.01,-0.11,1.02,0.2
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,New World,Regional,2.23,Gamma,50.17,No,5.37,Sst,6,-0.01,0.01,-0.18,-0.6,0.33
Williams 1964,"Williams 1964, Patterns in the balance of nature, Academic Press, New York",Flowering plants,Ecto,1,Seeds,Autotrophs,Terrestrial,All terrestrial,S,New World,Regional,4.82,Gamma,41.75,Yes,5.37,Sst,4,-0.04,0.01,1.38,-2,1
Willig and Gannon 1997,J Mammal 78:756-765,Marsupials,Homeo,2.78,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,6.1,Ranges,45,Yes,2.44,S,10,-0.64,0.12,26.1,-1.42,0.14
Willig and Gannon 1997,J Mammal 78:756-765,Marsupials,Homeo,2.78,Mobility,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,6.1,Ranges,45,Yes,2.44,S,10,-0.85,0.16,45.2,-1.41,0.14
Willig and Selcer 1989,J Biogeogr 16:189-195,Phyllostomid bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.4,Ranges,30,Yes,2.48,S,,-2.7,,86.47,-1.72,
Willig and Selcer 1989,J Biogeogr 16:189-195,Nonphyllobats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,5.4,Ranges,60,Yes,2.78,S,,-0.71,,44,-1.41,
Willig and Selcer 1989,J Biogeogr 16:189-195,Phyllostomid bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.4,Ranges,36,Yes,2.48,S,,-1.89,,68,-1.68,
Willig and Selcer 1989,J Biogeogr 16:189-195,Nonphyllobats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,S,New World,Regional,5.4,Ranges,55,Yes,2.78,S,,-0.87,,47,-1.55,
Wilson 1974,Evolution 28:128-140,Bats,Homeo,1.11,Flying,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.86,Ranges,60,,2.97,S,192,-1.1,0.05,59.22,-1.18,0.01
Wilson 1974,Evolution 28:128-140,Quadrupedal mammals,Homeo,2.9,Mobility,Omnivores,Terrestrial,All terrestrial,N,New World,Regional,4.86,Ranges,60,,3.59,S,,-0.83,,78,,
Wilson 1998,Deepâ€êSea Res 45:279-301,Isopods,Ecto,-1.3,Mobility,Omnivores,Marine,Deep sea,N,Atlantic,Local,,Alpha,40,No,3.6,Sst,40,-0.15,0.1,34.41,-0.24,0.03
Wilson 1998,Deepâ€êSea Res 45:279-301,Isopods,Ecto,-1.3,Mobility,Omnivores,Marine,Deep sea,S,Atlantic,Local,,Alpha,61,No,3.6,Sst,26,-0.03,204,31.15,-0.03,0.04
Winemiller 1991,Ecol Monogr 61:343-365,Fish,Ecto,2.43,Mobility,Omnivores,Freshwater,Lake,N,New World,Local,1,Alpha,56,No,4.4,S,4,-1.25,0.47,984.85,-1.39,1
Virola et al. 2001,Freshwater Biol 46:1471-1478,Aquatic vascular plants,Ecto,0.7,Seeds,Autotrophs,Freshwater,Lake,N,Eurafrica,Local,0.41,Alpha,10,No,3.48,S,113,,,,0.06,0.01
Virola et al. 2001,Freshwater Biol 46:1471-1478,Aquatic vascular plants,Ecto,0.7,Seeds,Autotrophs,Freshwater,Lake,N,Eurafrica,Local,0.41,Alpha,10,No,3.48,S,113,,,,-0.16,0.01
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,5.61,Gamma,40,Yes,4.51,S,17,-3.11,1.11,204.87,-0.66,0.07
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,5.61,Gamma,40,Yes,4.51,Index,17,-0.01,0,1.78,-1.26,0.07
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,N,New World,Regional,5.61,Gamma,40,Yes,4.51,Higher,17,-1.19,0.28,7394,-0.94,0.07
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.61,Gamma,36.5,No,4.51,S,3,-4,1.44,234.08,-1.74,
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.61,Gamma,36.5,Yes,4.51,Index,3,-0.01,0,1.73,-4.61,
Wood and Olmstead 1984,Ecol Entomol 9:109-115,Treehopper,Ecto,-2.22,Flying,Herbivores,Terrestrial,All terrestrial,S,New World,Regional,5.61,Gamma,36.5,No,4.51,Higher,3,-1.12,0.1,74.88,-3.07,
Wooddâ€êWalker et al. 2002,Mar Ecol Prog Ser 236:189-203,Copepods,Ecto,-3.74,Passive,Herbivores,Marine,Pelagic ocean,N,Atlantic,Local,,Alpha,60,Yes,3.9,Higher,67,-0.33,0.03,28.8,-1.2,0.02
Wooddâ€êWalker et al. 2002,Mar Ecol Prog Ser 236:189-203,Copepods,Ecto,-3.74,Passive,Herbivores,Marine,Pelagic ocean,S,Atlantic,Local,,Alpha,62,Yes,3.9,Higher,82,-0.32,0.02,27.2,-1.35,0.01
Voss and Emmons 1996,Bull Am Mus Nat Hist 230:3-115,Bats,Homeo,1.11,Flying,Omnivores,Terrestrial,Forest,Both,New World,Local,2.7,Alpha,10,No,2.97,S,9,0.3,0.85,52.4,0.13,0.17
Voss and Emmons 1996,Bull Am Mus Nat Hist 230:3-115,Nonâ€êflying mammals,Homeo,2.9,Mobility,Omnivores,Terrestrial,Forest,Both,New World,Local,2.7,Alpha,10,No,3.59,S,11,1.4,1.02,45.45,0.45,0.13
Wylie and Currie 1993,Biol Conserv 63:137-144,Birds,Homeo,2.17,Flying,Omnivores,Terrestrial,Islands,Both,Worldwide,Local,,Ranges,17,Yes,3.95,Sst,27,-0.31,0.08,-0.65,,0.04
